"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EBVDKFCM","webpage","2016","Cécile Pellerin","Cécile Pellerin","Le Huffington Post","","","","http://www.huffingtonpost.fr/author/ccile-pellerin/","Militante pour les droits des femmes.","2016-12-01","2017-05-13 13:12:51","2017-05-13 15:25:30","2017-05-13 13:12:51","","","","","","","","","","","","","","Francais","","Blog","","","","","","","/Users/zainabhabas/Library/Application Support/Zotero/Profiles/1a6wrazm.default/zotero/storage/8Z7MR3JP/ccile-pellerin.html","","féministe; lu en détail; Pétition; poids moyen; Pour l'extension du délit d'entrave; pro-ivg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I5VTPWCW","blogPost","2016","Sophie Riche","On a testé pour vous la nouvelle stratégie des anti-IVG [MAJ]","madmoiZelle.com","","","","http://www.madmoizelle.com/anti-ivg-numero-vert-desinformation-150964","Des sites sur l'IVG en apparence officiels et informatifs sont suspectés de délivrer des discours anti-choix. On a décidé d'en tester un.","2016-12-07","2017-05-13 14:21:05","2017-05-13 15:25:33","2017-05-13 14:21:05","","","","","","","","","","","","","","","","Magazine","","","","","","","/Users/zainabhabas/Library/Application Support/Zotero/Profiles/1a6wrazm.default/zotero/storage/S2PHWIZF/anti-ivg-numero-vert-desinformation-150964.html","","auteur; lu en détail; numéro vert anti-ivg; poids fort; Pour l'extension du délit d'entrave; pro-ivg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R6CSPK34","webpage","2016","La Quadrature du Net","Tel que proposé, le délit d'entrave numérique à l'IVG est une proposition dangereuse | La Quadrature du Net","","","","","http://www.laquadrature.net/fr/delit-entrave-numerique","","2016-12-01","2017-05-13 15:07:33","2017-05-13 15:22:46","2017-05-13 15:07:33","","","","","","","","","","","","","","","","Site institutionnel","","","","","","","/Users/zainabhabas/Library/Application Support/Zotero/Profiles/1a6wrazm.default/zotero/storage/GAV57SB9/delit-entrave-numerique.html","","Article; association; Contre l'extension du délit d'entrave; liberté d'expression; lu en détail; poids fort; pro-ivg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQ6GXV6X","webpage","","Guillaume Erner","Charlie Hebdo Officiel - Publications","Facebook","","","","https://www.facebook.com/permalink.php?story_fbid=1332741193415682&id=106626879360459","","","2017-05-13 15:25:07","2017-05-14 22:13:24","2017-05-13 15:25:07","","","","","","","","","","","","","","","","Page Facebook","","","","","","","/Users/zainabhabas/Library/Application Support/Zotero/Profiles/1a6wrazm.default/zotero/storage/XHAQBGC8/permalink.html","","Contre l'extension du délit d'entrave; liberté d'expression; lu en détail; média; poids moyen; pro-ivg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JG47M39F","webpage","","Alliance Vita","IVG : non à la censure gouvernementale","Alliance Vita","","","","http://www.alliancevita.org/ivg-non-a-la-censure-gouvernementale/","Le gouvernement s'est lancé dans une bataille pour museler et censurer les opposants à la banalisation de l'avortement en ciblant les sites qui informent les femmes sur les alternatives à l’IVG.","","2017-05-13 17:29:16","2017-05-13 17:37:22","2017-05-13 17:29:16","","","","","","","IVG","","","","","","","","","Site institutionnel","","","","","","","/Users/zainabhabas/Library/Application Support/Zotero/Profiles/1a6wrazm.default/zotero/storage/TA8HPSZ7/ivg-non-a-la-censure-gouvernementale.html","","anti-ivg; association; Contre l'extension du délit d'entrave; liberté d'expression; lu en détail; Pétition; poids fort","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JIUWT5G3","webpage","2016","Osez le féminisme","Avortement : pour la création d'un délit d'entrave numérique","Osez le feminisme !","","","","http://osezlefeminisme.fr/avortement-delit-entrave/","Le 1er décembre sera examinée à l’Assemblée nationale une proposition de loi visant à étendre le délit d’entrave à l’interruption volontaire de grossesse. De quoi s’agit-il ? De lutter contre des sites internet qui dispensent des informations mensongères aux femmes se posant des questions sur l’avortement. 23 ans après le vote de la loi Neiertz,","2016-11-29","2017-05-13 17:41:02","2017-05-13 17:42:21","2017-05-13 17:41:02","","","","","","","Avortement","","","","","","","","","Site institutionnel","","","","","","","/Users/zainabhabas/Library/Application Support/Zotero/Profiles/1a6wrazm.default/zotero/storage/JP386WM4/avortement-delit-entrave.html","","Article; association; féministe; lu en détail; poids fort; Pour l'extension du délit d'entrave; pro-ivg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8PRNDUUZ","webpage","","Cécile Edel","Non à l'extension du délit d'entrave à l'IVG","Change.org","","","","https://www.change.org/p/non-à-l-extension-du-délit-d-entrave-à-l-ivg","Madame, Monsieur le Député,    Alors que l’amendement par lequel Madame Laurence Rossignol entendait faire tomber les sites dits « anti-IVG » sous le coup du délit d’entrave numérique à l’avortement a été rejeté par le Sénat, les défenseurs du respect de la vie et de la vraie liberté de la femme découvrent...","","2017-05-13 17:44:27","2017-05-13 17:45:06","2017-05-13 17:44:27","","","","","","","","","","","","","","","","Blog","","","","","","","/Users/zainabhabas/Library/Application Support/Zotero/Profiles/1a6wrazm.default/zotero/storage/IARS4W39/non-à-l-extension-du-délit-d-entrave-à-l-ivg.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"858ESPPB","webpage","2016","Les Survivants","Délit d'entrave : fin de la Démocratie numérique ?","Les Survivants","","","","http://lessurvivants.com/delit-entrave-numerique/","Ce jeudi 1er décembre, Laurence Rossignol Ministre des Familles, de l’Enfance et des Droits des femmes, propose à l’Assemblée Nationale de voter l’amendement dit du “délit d’entrave numérique à l’IVG”. La ministre nous reproche de manipuler les femmes et d’entraver leur accès à l’IVG. Entraver signifie empêcher l’accès, mettre un obstacle, bloquer un chemin. Avons-nous bloqués qui …","2016-12-01","2017-05-13 17:46:19","2017-05-13 17:50:24","2017-05-13 17:46:19","","","","","","","Délit d'entrave","","","","","","","","","","","","","","","","/Users/zainabhabas/Library/Application Support/Zotero/Profiles/1a6wrazm.default/zotero/storage/UUTSBHDG/delit-entrave-numerique.html","","anti-ivg; association; Contre l'extension du délit d'entrave; liberté d'expression; liberté d'opinion; manifestation; non lu en détail; poids fort","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I3KGD7HK","webpage","2016","Jeuxvideo.com","Délit d'entrave sur l'IVG: Mgr Pontier saisit Hollande sur le forum Actualités - 29-11-2016 09:33:18","Jeuxvideo.com","","","","http://www.jeuxvideo.com/forums/42-69-49271235-1-0-1-0-delit-d-entrave-sur-l-ivg-mgr-pontier-saisit-hollande.htm","Le président de la Conférence des évêques de France, Mgr Georges Pontier, a demandé à François Hollande pour qu'il fasse échec à la création d'un délit d'entrave numérique à l'IVG. http: - Topic Délit d'entrave sur l'IVG: Mgr Pontier saisit Hollande du 29-11-2016 09:33:18 sur les forums de jeuxvideo...","2016-11-29","2017-05-13 18:10:43","2017-05-14 21:57:31","2017-05-13 18:10:43","","","","","","","Délit d'entrave sur l'IVG","","","","","","","","","Forum","","","","","","","/Users/zainabhabas/Library/Application Support/Zotero/Profiles/1a6wrazm.default/zotero/storage/669ZVMVJ/42-69-49271235-1-0-1-0-delit-d-entrave-sur-l-ivg-mgr-pontier-saisit-hollande.html","","Contre l'extension du délit d'entrave; débat; liberté d'expression; liberté d'opinion; non lu en détail; poids faible","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FUR6KHI7","webpage","2017","France Culture","France Culture - Publications","Facebook","","","","https://www.facebook.com/franceculture/posts/10155121705943349","","2017-04-04","2017-05-13 18:10:45","2017-05-14 22:17:37","2017-05-13 18:10:45","","","","","","","","","","","","","","","","Page Facebook","","","","","","","/Users/zainabhabas/Library/Application Support/Zotero/Profiles/1a6wrazm.default/zotero/storage/N4SXABTJ/10155121705943349.html","","association; Contre l'extension du délit d'entrave; débat; lu en détail; poids fort; Présidentielles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6QTCCEWQ","webpage","2016","aufeminin","Fillon veut abroger le délit d'entrave à l'IVG","aufeminin","","","","http://societe.aufeminin.com/forum/fillon-veut-abroger-le-delit-d-entrave-a-l-ivg-fd5259764","","2016-04-03","2017-05-13 18:11:13","2017-05-14 22:01:41","2017-05-13 18:11:13","","","","","","","","","","","","","","","","Forum","","","","","","","/Users/zainabhabas/Library/Application Support/Zotero/Profiles/1a6wrazm.default/zotero/storage/D8B3GBJC/fillon-veut-abroger-le-delit-d-entrave-a-l-ivg-fd5259764.html","","féministe; lu en détail; poids faible; Pour l'extension du délit d'entrave; Présidentielles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
